frame,e2e_ms,pre_ms,infer_ms,post_ms,cpu_util_pct,ram_used_mb,gpu_util_pct,vram_used_mb,power_w
0,152.90499990805984,1.02830003015697,147.95639994554222,3.449000185355544,21.0,13301.8046875,,,
1,160.32560006715357,1.210200134664774,155.36169987171888,3.4729999024420977,34.7,13311.82421875,,,
2,169.91619998589158,0.9059999138116837,162.51750010997057,6.214900175109506,8.4,13318.5625,,,
3,215.77399992384017,1.462999964132905,209.4708001241088,4.529200028628111,21.7,13310.1953125,,,
4,209.25640012137592,1.3852999545633793,203.57279991731048,3.827200038358569,20.5,13309.53515625,,,
5,166.46310011856258,1.0476999450474977,160.85089999251068,4.105999832972884,22.4,13306.83203125,,,
6,163.73910009860992,1.2898000422865152,157.97419985756278,4.008500138297677,24.9,13305.1796875,,,
7,168.83380012586713,1.1090999469161034,163.6516998987645,3.609300125390291,28.6,13305.37109375,,,
8,166.9961998704821,1.1012000031769276,161.70649998821318,3.7406999617815018,28.0,13305.46875,,,
9,168.95510000176728,0.9762002155184746,163.56209991499782,3.9483001455664635,12.3,13304.44140625,,,
10,163.81780011579394,1.1222001630812883,158.46810000948608,3.767699934542179,19.8,13303.515625,,,
11,161.0792998690158,1.1320998892188072,155.69150005467236,3.7936000153422356,17.8,13301.75,,,
12,159.27909989841282,1.4267999213188887,153.76120014116168,3.6443998105823994,22.8,13304.69921875,,,
13,164.31510006077588,1.1565000750124454,158.93210005015135,3.957899985834956,21.8,13305.57421875,,,
14,169.7507998906076,1.1777998879551888,164.05400005169213,4.016699967905879,14.5,13298.29296875,,,
15,175.67089991644025,1.30359991453588,169.49780005961657,4.374600015580654,25.4,13298.48828125,,,
16,161.12979990430176,1.130599994212389,155.26890009641647,4.27579996176064,23.0,13301.01171875,,,
17,160.37820000201464,1.0571000166237354,154.76309997029603,4.078499972820282,36.9,13301.37890625,,,
18,160.7159001287073,1.4103001449257135,154.5196999795735,4.313500132411718,28.5,13302.71484375,,,
19,159.718899987638,1.0712000075727701,153.59649993479252,4.584900103509426,17.9,13304.0546875,,,
20,164.7731999401003,1.235899981111288,158.73109991662204,4.323200089856982,24.6,13301.5546875,,,
21,170.44209991581738,1.188300084322691,164.3103000242263,4.481300013139844,25.9,13296.6640625,,,
22,162.15809993445873,1.0495998430997133,156.23580012470484,4.3963000643998384,19.9,13297.7421875,,,
23,157.9268998466432,1.2195000890642405,151.68559993617237,4.5513000804930925,25.8,13298.25390625,,,
24,162.23530005663633,1.1950999032706022,156.48120013065636,4.091699840500951,24.4,13295.40234375,,,
25,161.28569981083274,1.6097999177873135,154.81270011514425,4.395900061354041,18.7,13312.94921875,,,
26,165.21249990910292,1.259499927982688,159.10440008156002,4.542599897831678,14.4,13311.0625,,,
27,164.79579987935722,1.231699949130416,158.62859995104373,4.457200178876519,22.0,13310.15234375,,,
28,156.48289979435503,1.0772000532597303,150.74079995974898,4.196000052616,27.4,13311.70703125,,,
29,160.58150003664196,1.0731001384556293,155.15580005012453,3.9104002062231302,28.0,13311.80859375,,,
30,155.92229994945228,1.074400031939149,150.51169996149838,3.8925998378545046,25.8,13308.21484375,,,
31,162.27749991230667,0.9248999413102865,156.70379996299744,4.178200149908662,25.2,13301.30859375,,,
32,162.7458999864757,1.4180000871419907,156.75039985217154,4.087399924173951,26.8,13300.81640625,,,
33,163.05879992432892,1.279100077226758,157.14940009638667,4.119799938052893,14.2,13301.19140625,,,
34,167.42949979379773,1.2058001011610031,161.4213001448661,4.23989980481565,33.1,13310.2109375,,,
35,162.39230008795857,1.1424000840634108,156.16100002080202,4.613399971276522,20.0,13309.81640625,,,
36,160.3004999924451,0.9623998776078224,154.69370014034212,4.176300019025803,26.5,13309.88671875,,,
37,163.29729999415576,1.069399993866682,157.39920013584197,4.360700026154518,29.9,13308.3984375,,,
38,207.34389987774193,1.5921001322567463,201.11689995974302,4.137999843806028,17.4,13310.5546875,,,
39,221.60920011810958,1.021499978378415,215.4451000969857,4.677999997511506,26.8,13305.35546875,,,
40,228.23579981923103,1.1043001431971788,222.00089995749295,4.6524000354111195,21.5,13300.96484375,,,
41,199.82179999351501,1.1781000066548586,193.81739990785718,4.325200105085969,23.8,13301.65625,,,
42,205.89410001412034,1.1444000992923975,199.56009997986257,4.711899906396866,23.9,13298.94921875,,,
