frame,e2e_ms,pre_ms,infer_ms,post_ms,cpu_util_pct,ram_used_mb,gpu_util_pct,vram_used_mb,power_w
33,30.19790002144873,1.2070001102983952,12.104999972507358,16.562399920076132,20.0,14593.61328125,18,801.73046875,15.327
34,38.93640008755028,1.2452001683413982,20.55580005981028,16.784700099378824,5.0,14593.61328125,18,801.73046875,15.327
35,31.70070005580783,1.2868000194430351,11.96750020608306,18.123999936506152,16.7,14593.61328125,18,801.73046875,15.447
36,30.895199859514832,1.0126999113708735,11.948100058361888,17.63969985768199,14.8,14593.61328125,18,801.73046875,15.447
37,31.988499918952584,1.2775999493896961,12.05729995854199,18.354800064116716,10.4,14593.61328125,18,801.73046875,15.447
38,28.92680000513792,0.9804000146687031,11.641700053587556,15.98779996857047,10.5,14593.61328125,18,801.73046875,15.649
39,33.26370008289814,0.9347000159323215,14.635500032454729,17.405700171366334,7.3,14593.61328125,18,801.73046875,15.649
40,31.676099868491292,0.9122998453676701,11.512900004163384,18.95419997163117,8.2,14593.61328125,18,801.73046875,15.649
41,28.678199974820018,1.0240999981760979,11.474699946120381,15.902699902653694,9.3,14593.6171875,18,801.73046875,15.847
42,49.004700034856796,1.272900030016899,22.225799970328808,25.247399928048253,5.1,14593.6171875,18,801.73046875,15.847
43,38.46720000728965,1.2749000452458858,21.224899915978312,15.678999945521355,9.2,14593.6328125,18,801.73046875,15.925
44,28.68240000680089,0.9657999034970999,11.248899856582284,16.203799983486533,8.1,14593.6640625,18,801.73046875,15.925
45,35.903200041502714,0.952600035816431,11.433100095018744,23.242400027811527,9.5,14593.65625,18,801.73046875,15.925
46,31.960399821400642,1.0111997835338116,11.660699965432286,19.028800074011087,15.0,14593.6875,18,801.73046875,15.993
47,47.44959995150566,1.137400045990944,20.058800000697374,25.973299983888865,8.3,14593.6875,18,801.73046875,15.993
48,43.21380006149411,1.0095001198351383,15.283300075680017,26.63760003633797,7.1,14593.6875,18,801.73046875,15.911
49,31.981599982827902,1.2195000890642405,17.13060005567968,13.347199885174632,9.3,14593.6875,18,801.73046875,15.911
50,26.48069988936186,1.1469998862594366,11.571499984711409,13.493400067090988,9.8,14593.6875,18,801.73046875,15.911
51,43.66920003667474,1.0528001002967358,18.474799813702703,23.869900032877922,9.0,14592.66015625,18,801.73046875,15.973
52,48.29710000194609,1.6882999334484339,22.92939997278154,23.38879997842014,8.3,14592.59765625,21,801.73046875,15.973
53,26.503800181671977,0.9930001106113195,10.711400071159005,14.510300010442734,10.8,14592.59765625,21,801.73046875,15.973
54,27.420700062066317,1.051400089636445,10.826600017026067,15.280999941751361,9.8,14592.59765625,21,801.73046875,16.141
55,51.77620006725192,0.9608999826014042,22.5662998855114,27.939700055867434,7.0,14592.59765625,21,801.73046875,16.141
56,39.44880003109574,0.9484000038355589,17.25719985552132,20.959899993613362,11.1,14592.6015625,21,801.73046875,15.963
57,63.237999798730016,1.161100110039115,23.040200117975473,38.7425001244992,8.5,14592.6328125,21,801.73046875,15.963
58,34.56830000504851,1.2191999703645706,17.19199982471764,15.847800066694617,5.0,14592.61328125,21,801.73046875,15.7
59,36.96779999881983,1.1198001448065042,11.740599991753697,23.817299865186214,10.3,14592.61328125,21,801.73046875,15.7
60,32.63219981454313,1.0312998201698065,15.45070018619299,15.850200084969401,10.3,14592.5703125,21,801.73046875,15.7
61,38.26990001834929,1.6352999955415726,18.976499792188406,17.320199869573116,5.1,14592.3203125,21,801.73046875,15.578
62,29.031099984422326,1.0909000411629677,14.432300115004182,13.21109989657998,10.0,14592.32421875,21,801.73046875,15.578
63,27.256699977442622,1.189500093460083,10.880599962547421,14.914399944245815,12.9,14592.31640625,21,801.73046875,15.578
64,29.62759998627007,0.9232000447809696,10.973100084811449,17.430800013244152,13.2,14592.31640625,21,801.73046875,15.455
65,32.52819995395839,0.9808000177145004,11.825500056147575,19.297300139442086,14.9,14592.33984375,21,801.73046875,15.455
66,28.87250017374754,0.9971000254154205,11.2809999845922,16.27669995650649,16.9,14592.31640625,21,801.73046875,15.455
67,29.263100121170282,1.0188999585807323,11.96369994431734,16.007999889552593,15.6,14592.34375,21,801.73046875,15.254
68,31.10800008289516,1.0748999193310738,12.300899950787425,17.411099979653955,14.7,14592.34375,21,801.73046875,15.254
69,31.147999921813607,1.092500053346157,12.407000176608562,17.3142000567168,100.0,14592.34375,21,801.73046875,15.254
70,30.178899876773357,1.069999998435378,12.109700124710798,16.722199972718954,22.0,14592.34375,21,801.73046875,15.254
71,30.8143999427557,1.0980998631566763,11.760100023820996,17.679299926385283,100.0,14592.34765625,21,801.73046875,15.089
72,31.771300127729774,1.1268998496234417,15.2902000118047,15.017699915915728,50.0,14592.3203125,21,801.73046875,15.089
73,29.237800044938922,1.1761998757719994,12.259000213816762,15.411099884659052,2.4,14592.31640625,21,801.73046875,15.089
74,31.186799984425306,1.2348999734967947,13.066499959677458,16.505399951711297,35.7,14592.3203125,21,801.73046875,15.054
75,27.7193000074476,1.33019988425076,12.630400015041232,13.391199987381697,30.0,14592.36328125,21,801.73046875,15.054
76,25.223700096830726,1.1171000078320503,12.004799908027053,11.789199896156788,8.8,14592.36328125,21,801.73046875,15.054
77,24.95460002683103,1.076800050213933,11.576400138437748,12.001700000837445,17.1,14592.36328125,21,801.73046875,15.083
78,26.975400047376752,0.8677002042531967,12.69630016759038,13.129999861121178,13.0,14596.8046875,21,801.73046875,15.083
79,26.2595999520272,1.1640999000519514,12.925799936056137,11.81999989785254,35.1,14595.14453125,21,801.73046875,15.083
80,27.328999945893884,1.0728000197559595,12.890900019556284,13.037600088864565,33.3,14595.05859375,21,801.73046875,15.083
81,26.29980002529919,1.0814000852406025,12.190999928861856,12.676400132477283,32.3,14593.421875,21,801.73046875,15.279
82,26.886799838393927,1.6929998528212309,12.037199921905994,12.806299841031432,17.4,14593.5,21,801.73046875,15.279
83,53.92950004898012,1.2642999645322561,23.065700195729733,29.25559994764626,7.6,14592.73046875,29,801.73046875,15.227
84,36.990199936553836,1.1296998709440231,11.79179991595447,23.716399911791086,18.0,14592.4453125,29,801.73046875,15.227
85,25.692200055345893,1.1695001740008593,13.036599848419428,11.152599938213825,12.8,14592.43359375,29,801.73046875,15.227
86,49.6743000112474,1.1226001661270857,22.408199962228537,25.821899995207787,3.3,14592.2578125,29,801.73046875,15.218
87,46.99239996261895,1.190100098028779,22.368100006133318,23.13089999370277,4.8,14592.28515625,29,801.73046875,15.218
88,40.419600205495954,1.128199975937605,20.623599877581,18.34660000167787,2.5,14591.06640625,29,801.73046875,15.213
89,32.30720013380051,1.1463998816907406,12.852800078690052,18.02089996635914,10.5,14591.06640625,29,801.73046875,15.213
90,22.441300097852945,1.055500004440546,10.956499958410859,10.134299984201789,6.6,14591.06640625,29,801.73046875,15.213
91,40.20810010842979,0.9331000037491322,15.989300096407533,23.00200005993247,8.8,14590.84765625,29,801.73046875,15.45
92,29.86650005914271,1.1181000154465437,17.753399908542633,10.72959997691214,6.1,14590.47265625,29,801.73046875,15.45
